Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
H48,HS 2nd,2,8,100,1,4,NA,8,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,5,0.2
